"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","12","0","","0"
"0","","0","test_open_home","1","0","existence","0"
"0","","0","test_activate_company","1","0","name","0"
